name,best_email,conference,title,company,personal_website,email_from_website,has_contact_form,twitter_handle,linkedin_url,phone,contact_score,bio,ai_relevance_score
Opportunities_Sponsor,,Microsoft Build,,,,,,,,,,,0
Cdsacdmy,,Microsoft Build,,,,,,,,,,,0
Accommodations,,Microsoft Build,,,,,,,,,,,0
V-Nicksut,,Microsoft Build,,,,,,,,,,,0
V-Rayzorn,,Microsoft Build,,,,,,,,,,,0
Buscond,,Microsoft Build,,,,,,,,,,,0
Sponsor,,Microsoft Build,,,,,,,,,,,0
General_Accommodations,,Microsoft Build,,,,,,,,,,,0
Feedback_Accommodations,,Microsoft Build,,,,,,,,,,,0
General_Build,,Microsoft Build,,,,,,,,,,,0
V-Tstopperan,,Microsoft Build,,,,,,,,,,,0
Marriott,,Microsoft Build,,,,,,,,,,,0
Amenities_Accommodations,,Microsoft Build,,,,,,,,,,,0
User,,Web Summit,,,,,,,,,,,0
